Modelo    SingleStream   Batch     Exp. ns stream Valido         Percentil 90   Target         qps_w          qps_w_o                       
resnet50  SingleStream   400       500000         VALID          30894222       2000           32.94          33.00                    
resnet50  SingleStream   500       500000         VALID          36331193       2000           28.00          28.05                    
resnet50  SingleStream   600       500000         VALID          41624514       2000           24.42          24.45                    
resnet50  SingleStream   700       500000         VALID          47191356       2000           21.52          21.53                    
resnet50  SingleStream   800       500000         VALID          52664214       2000           19.30          19.31                    
resnet50  SingleStream   900       500000         VALID          57908331       2000           17.50          17.50                    
resnet50  SingleStream   1000      500000         VALID          60902631       2000           16.52          16.53                    
resnet50  SingleStream   2000      500000         VALID          116538427      2000           8.65           8.65                     
resnet50  SingleStream   3000      500000                                                                                              
resnet50  SingleStream   4000      500000                                                                                              
resnet50  SingleStream   5000      500000                                                                                              
resnet50  SingleStream   6000      500000                                                                                              
resnet50  SingleStream   7000      500000                                                                                              
resnet50  SingleStream   8000      500000                                                                                              
resnet50  SingleStream   9000      500000                                                                                              
resnet50  SingleStream   10000     500000                                                                                              
